result_no	generate_no	enemy	
35	0	1
35	0	2
35	0	3
35	0	4
35	0	5
35	0	6
35	0	7
35	0	8
35	0	9
35	0	10
35	0	11
35	0	12
35	0	13
35	0	14
35	0	15
35	0	16
35	0	17
35	0	18
35	0	19
35	0	20
35	0	21
35	0	22
35	0	23
35	0	24
35	0	25
35	0	26
35	0	27
35	0	28
35	0	29
35	0	30
35	0	31
35	0	32
35	0	33
35	0	34
35	0	35
35	0	36
35	0	37
35	0	38
35	0	39
35	0	40
35	0	41
35	0	42
35	0	43
35	0	44
35	0	45
35	0	46
35	0	47
35	0	48
35	0	49
35	0	50
35	0	51
35	0	52
35	0	53
35	0	54
35	0	55
35	0	56
35	0	57
35	0	58
35	0	59
35	0	60
35	0	61
35	0	62
35	0	63
35	0	64
35	0	65
35	0	66
35	0	67
35	0	68
35	0	69
35	0	70
35	0	71
35	0	72
35	0	73
35	0	74
35	0	75
35	0	76
35	0	77
35	0	78
35	0	79
35	0	80
35	0	81
35	0	82
35	0	83
35	0	84
35	0	85
35	0	86
35	0	87
