result_no	generate_no	enemy	
35	0	1
35	0	2
35	0	3
35	0	4
35	0	5
35	0	6
35	0	7
35	0	8
35	0	9
35	0	10
35	0	11
35	0	12
35	0	13
35	0	14
35	0	15
35	0	16
35	0	17
35	0	18
35	0	19
35	0	20
35	0	21
35	0	22
35	0	23
35	0	24
35	0	25
35	0	26
35	0	27
35	0	28
35	0	29
35	0	30
35	0	31
35	0	32
35	0	33
35	0	34
35	0	35
35	0	36
35	0	37
35	0	38
35	0	39
35	0	40
35	0	41
35	0	42
35	0	43
35	0	44
35	0	45
35	0	46
35	0	47
35	0	48
35	0	49
35	0	50
35	0	51
35	0	52
35	0	53
35	0	54
35	0	55
35	0	56
35	0	57
35	0	58
35	0	59
35	0	60
35	0	61
35	0	62
35	0	63
35	0	64
35	0	65
35	0	66
35	0	67
35	0	68
35	0	69
35	0	70
35	0	71
35	0	72
35	0	73
35	0	74
35	0	75
35	0	76
35	0	77
35	0	78
35	0	79
35	0	80
35	0	81
35	0	82
35	0	83
35	0	84
35	0	85
35	0	86
35	0	87
35	0	88
35	0	89
35	0	90
35	0	91
35	0	92
35	0	93
35	0	94
35	0	95
35	0	96
35	0	97
35	0	98
35	0	99
35	0	100
35	0	101
35	0	102
35	0	103
35	0	104
35	0	105
35	0	106
35	0	107
35	0	108
35	0	109
35	0	110
35	0	111
35	0	112
35	0	113
35	0	114
35	0	115
35	0	116
35	0	117
35	0	118
35	0	119
35	0	120
35	0	121
35	0	122
35	0	123
35	0	124
35	0	125
35	0	126
35	0	127
35	0	128
35	0	129
35	0	130
35	0	131
35	0	132
35	0	133
35	0	134
35	0	135
35	0	136
35	0	137
35	0	138
35	0	139
35	0	140
35	0	141
35	0	142
35	0	143
35	0	144
35	0	145
35	0	146
35	0	147
35	0	148
35	0	149
35	0	150
35	0	151
35	0	152
35	0	153
35	0	154
35	0	155
35	0	156
35	0	157
35	0	158
35	0	159
35	0	160
35	0	161
35	0	162
35	0	163
35	0	164
35	0	165
