result_no	generate_no	enemy	
45	0	1
45	0	2
45	0	3
45	0	4
45	0	5
45	0	6
45	0	7
45	0	8
45	0	9
45	0	10
45	0	11
45	0	12
45	0	13
45	0	14
45	0	15
45	0	16
45	0	17
45	0	18
45	0	19
45	0	20
45	0	21
45	0	22
45	0	23
45	0	24
45	0	25
45	0	26
45	0	27
45	0	28
45	0	29
45	0	30
45	0	31
45	0	32
45	0	33
45	0	34
45	0	35
45	0	36
45	0	37
45	0	38
45	0	39
45	0	40
45	0	41
45	0	42
45	0	43
45	0	44
45	0	45
45	0	46
45	0	47
45	0	48
45	0	49
45	0	50
45	0	51
45	0	52
45	0	53
45	0	54
45	0	55
45	0	56
45	0	57
45	0	58
45	0	59
45	0	60
45	0	61
45	0	62
45	0	63
45	0	64
45	0	65
45	0	66
45	0	67
45	0	68
45	0	69
45	0	70
45	0	71
45	0	72
45	0	73
45	0	74
45	0	75
45	0	76
45	0	77
45	0	78
45	0	79
45	0	80
45	0	81
45	0	82
45	0	83
45	0	84
45	0	85
45	0	86
45	0	87
45	0	88
45	0	89
45	0	90
45	0	91
45	0	92
45	0	93
45	0	94
45	0	95
45	0	96
45	0	97
45	0	98
45	0	99
45	0	100
45	0	101
45	0	102
45	0	103
45	0	104
45	0	105
45	0	106
45	0	107
45	0	108
45	0	109
45	0	110
45	0	111
45	0	112
45	0	113
45	0	114
45	0	115
45	0	116
45	0	117
45	0	118
45	0	119
45	0	120
45	0	121
45	0	122
45	0	123
45	0	124
45	0	125
45	0	126
45	0	127
45	0	128
45	0	129
45	0	130
45	0	131
45	0	132
45	0	133
45	0	134
45	0	135
45	0	136
45	0	137
45	0	138
45	0	139
45	0	140
45	0	141
45	0	142
45	0	143
45	0	144
45	0	145
45	0	146
45	0	147
45	0	148
45	0	149
45	0	150
45	0	151
45	0	152
45	0	153
45	0	154
45	0	155
45	0	156
45	0	157
45	0	158
45	0	159
45	0	160
45	0	161
45	0	162
45	0	163
45	0	164
45	0	165
45	0	167
45	0	222
45	0	223
45	0	224
45	0	225
45	0	226
45	0	227
45	0	228
45	0	229
45	0	232
45	0	233
45	0	234
45	0	235
45	0	236
45	0	237
45	0	238
45	0	239
45	0	240
45	0	241
45	0	242
45	0	243
45	0	244
45	0	245
45	0	246
