result_no	generate_no	place	
16	0	1
16	0	2
16	0	3
16	0	4
16	0	5
16	0	6
16	0	7
16	0	8
16	0	9
16	0	12
16	0	13
16	0	14
16	0	15
16	0	16
16	0	17
16	0	18
16	0	19
16	0	20
16	0	21
16	0	22
16	0	23
16	0	24
16	0	25
16	0	26
16	0	27
16	0	28
16	0	29
16	0	30
16	0	31
16	0	32
16	0	33
16	0	34
16	0	35
16	0	36
16	0	37
16	0	38
16	0	39
16	0	40
16	0	41
16	0	42
16	0	43
16	0	44
16	0	45
16	0	46
16	0	47
16	0	48
16	0	49
16	0	50
16	0	51
16	0	52
16	0	53
16	0	54
16	0	55
16	0	56
16	0	57
16	0	58
16	0	59
16	0	60
16	0	61
16	0	62
16	0	63
16	0	64
16	0	65
16	0	66
16	0	67
16	0	68
16	0	69
16	0	70
16	0	71
16	0	72
16	0	73
16	0	74
16	0	75
16	0	76
16	0	77
16	0	78
