result_no	generate_no	enemy	
46	1	1
46	1	2
46	1	3
46	1	4
46	1	5
46	1	6
46	1	7
46	1	8
46	1	9
46	1	10
46	1	11
46	1	12
46	1	13
46	1	14
46	1	15
46	1	16
46	1	17
46	1	18
46	1	19
46	1	20
46	1	21
46	1	22
46	1	23
46	1	24
46	1	25
46	1	26
46	1	27
46	1	28
46	1	29
46	1	30
46	1	31
46	1	32
46	1	33
46	1	34
46	1	35
46	1	36
46	1	37
46	1	38
46	1	39
46	1	40
46	1	41
46	1	42
46	1	43
46	1	44
46	1	45
46	1	46
46	1	47
46	1	48
46	1	49
46	1	50
46	1	51
46	1	52
46	1	53
46	1	54
46	1	55
46	1	56
46	1	57
46	1	58
46	1	59
46	1	60
46	1	61
46	1	62
46	1	63
46	1	64
46	1	65
46	1	66
46	1	67
46	1	68
46	1	69
46	1	70
46	1	71
46	1	72
46	1	73
46	1	74
46	1	75
46	1	76
46	1	77
46	1	78
46	1	79
46	1	80
46	1	81
46	1	82
46	1	83
46	1	84
46	1	85
46	1	86
46	1	87
46	1	88
46	1	89
46	1	90
46	1	91
46	1	92
46	1	93
46	1	94
46	1	95
46	1	96
46	1	97
46	1	98
46	1	99
46	1	100
46	1	101
46	1	102
46	1	103
46	1	104
46	1	105
46	1	106
46	1	107
46	1	108
46	1	109
46	1	110
46	1	111
46	1	112
46	1	113
46	1	114
46	1	115
46	1	116
46	1	117
46	1	118
46	1	119
46	1	120
46	1	121
46	1	122
46	1	123
46	1	124
46	1	125
46	1	126
46	1	127
46	1	128
46	1	129
46	1	130
46	1	131
46	1	132
46	1	133
46	1	134
46	1	135
46	1	136
46	1	137
46	1	138
46	1	139
46	1	140
46	1	141
46	1	142
46	1	143
46	1	144
46	1	145
46	1	146
46	1	147
46	1	148
46	1	149
46	1	150
46	1	151
46	1	152
46	1	153
46	1	154
46	1	155
46	1	156
46	1	157
46	1	158
46	1	159
46	1	160
46	1	161
46	1	162
46	1	163
46	1	164
46	1	165
46	1	167
46	1	222
46	1	223
46	1	224
46	1	225
46	1	226
46	1	227
46	1	228
46	1	229
46	1	232
46	1	233
46	1	234
46	1	235
46	1	236
46	1	237
46	1	238
46	1	239
46	1	240
46	1	241
46	1	242
46	1	243
46	1	244
46	1	245
46	1	246
46	1	247
